seed,metric,order,remove_ratio,L2,improvement_pct,mean_failure
1,Residual,asc,0.0,0.3816958548297683,0.0,2.1508272849791905
1,Residual,asc,0.05,0.3859637309531783,-1.118135308363102,2.1508272849791905
1,Residual,asc,0.1,0.388889812600105,-1.8847356289853159,2.1508272849791905
1,Residual,asc,0.15000000000000002,0.3917776053949829,-2.6413047031152423,2.1508272849791905
1,Residual,asc,0.2,0.39679081510891784,-3.954708988359775,2.1508272849791905
1,Residual,asc,0.25,0.400825844586782,-5.011841107246352,2.1508272849791905
1,Residual,asc,0.30000000000000004,0.40570021061856465,-6.288869916992415,2.1508272849791905
1,Residual,asc,0.35000000000000003,0.4125599947166238,-8.086055820705866,2.1508272849791905
1,Residual,asc,0.4,0.41879353226442895,-9.719172206155015,2.1508272849791905
1,Residual,asc,0.45,0.42633957817290913,-11.696150947997948,2.1508272849791905
1,Residual,asc,0.5,0.4343061941353294,-13.783314290647628,2.1508272849791905
1,Residual,asc,0.55,0.44192191266773306,-15.77854647251143,2.1508272849791905
1,Residual,asc,0.6000000000000001,0.4542700967736214,-19.013631147820643,2.1508272849791905
1,Residual,asc,0.65,0.4670589410379155,-22.36416380424621,2.1508272849791905
1,Residual,asc,0.7000000000000001,0.4889406964656582,-28.09693641648788,2.1508272849791905
1,Residual,asc,0.75,0.5160702988504574,-35.20458561977794,2.1508272849791905
1,Residual,asc,0.8,0.5454604973897949,-42.904485466069204,2.1508272849791905
1,Residual,asc,0.8500000000000001,0.5877549538849838,-53.98515505155677,2.1508272849791905
1,Residual,asc,0.9,0.675772137411396,-77.04466235631038,2.1508272849791905
1,Residual,asc,0.9500000000000001,0.9016940631858265,-136.23365351661232,2.1508272849791905
1,Failure,asc,0.0,0.38169585482976826,0.0,2.1508272849791905
1,Failure,asc,0.05,0.3827816234837333,-0.2844591158710056,2.1508272849791905
1,Failure,asc,0.1,0.38490012590774375,-0.8394828074317344,2.1508272849791905
1,Failure,asc,0.15000000000000002,0.3873872037375834,-1.4910690896429606,2.1508272849791905
1,Failure,asc,0.2,0.39010175721980483,-2.202251421825241,2.1508272849791905
1,Failure,asc,0.25,0.39290876915707584,-2.9376568242556402,2.1508272849791905
1,Failure,asc,0.30000000000000004,0.396195135848663,-3.7986477546006503,2.1508272849791905
1,Failure,asc,0.35000000000000003,0.3999109262966912,-4.772142855742217,2.1508272849791905
1,Failure,asc,0.4,0.405245396727882,-6.1697138179864615,2.1508272849791905
