seed,metric,order,remove_ratio,L2,improvement_pct,mean_failure
0,Residual,asc,0.0,0.694438344643992,0.0,0.08674173197666023
0,Residual,asc,0.05,0.6791187633855418,2.206039078430196,0.08674173197666023
0,Residual,asc,0.1,0.6642240974819092,4.350889808305772,0.08674173197666023
0,Residual,asc,0.15000000000000002,0.6505785609525698,6.315864328302199,0.08674173197666023
0,Residual,asc,0.2,0.6351539789157693,8.537023651626725,0.08674173197666023
0,Residual,asc,0.25,0.6185420594403925,10.929161067928668,0.08674173197666023
0,Residual,asc,0.30000000000000004,0.6019026381304229,13.325258783198112,0.08674173197666023
0,Residual,asc,0.35000000000000003,0.5853433827527679,15.70981250281511,0.08674173197666023
0,Residual,asc,0.4,0.5717863208893963,17.662046559003596,0.08674173197666023
0,Residual,asc,0.45,0.5626833549079456,18.97288517436222,0.08674173197666023
0,Residual,asc,0.5,0.5520959683895791,20.4974822246294,0.08674173197666023
0,Residual,asc,0.55,0.536548056937092,22.73640113980795,0.08674173197666023
0,Residual,asc,0.6000000000000001,0.5203194686989133,25.073338373090813,0.08674173197666023
0,Residual,asc,0.65,0.5091173973514155,26.686450816246676,0.08674173197666023
0,Residual,asc,0.7000000000000001,0.5063893043973926,27.079299652297262,0.08674173197666023
0,Residual,asc,0.75,0.5033578565536402,27.515831976172112,0.08674173197666023
0,Residual,asc,0.8,0.4955882602776859,28.634663667405608,0.08674173197666023
0,Residual,asc,0.8500000000000001,0.48716562710166195,29.84753349825313,0.08674173197666023
0,Residual,asc,0.9,0.48274290748966986,30.484410716526472,0.08674173197666023
0,Residual,asc,0.9500000000000001,0.48553042593564405,30.08300453446963,0.08674173197666023
0,Chaos,asc,0.0,0.6944383446439916,0.0,0.08674173197666023
0,Chaos,asc,0.05,0.703302594196232,-1.276463147608119,0.08674173197666023
0,Chaos,asc,0.1,0.7123638556642363,-2.581296260279865,0.08674173197666023
0,Chaos,asc,0.15000000000000002,0.7223419222162386,-4.018150464682649,0.08674173197666023
0,Chaos,asc,0.2,0.7338935851207147,-5.681604534229759,0.08674173197666023
0,Chaos,asc,0.25,0.7459520126045452,-7.418033344193069,0.08674173197666023
0,Chaos,asc,0.30000000000000004,0.7608690595531656,-9.566106972855916,0.08674173197666023
0,Chaos,asc,0.35000000000000003,0.7767481363839064,-11.852714121382723,0.08674173197666023
0,Chaos,asc,0.4,0.7945262516443772,-14.412785205819292,0.08674173197666023
0,Chaos,asc,0.45,0.8159611451672905,-17.499436985381095,0.08674173197666023
0,Chaos,asc,0.5,0.8162262369995139,-17.537610544526846,0.08674173197666023
0,Chaos,asc,0.55,0.8079671742364987,-16.34829506004718,0.08674173197666023
0,Chaos,asc,0.6000000000000001,0.7982363948391783,-14.94705051870364,0.08674173197666023
0,Chaos,asc,0.65,0.7862072578539866,-13.214839577592876,0.08674173197666023
0,Chaos,asc,0.7000000000000001,0.7730515999074967,-11.320408193157416,0.08674173197666023
0,Chaos,asc,0.75,0.7453524014707478,-7.331688582498658,0.08674173197666023
0,Chaos,asc,0.8,0.709783849088005,-2.2097720499406415,0.08674173197666023
0,Chaos,asc,0.8500000000000001,0.6489079739787207,6.556430965604633,0.08674173197666023
0,Chaos,asc,0.9,0.583800125093272,15.932043557796199,0.08674173197666023
