seed,metric,order,remove_ratio,L2,improvement_pct,mean_failure
0,Residual,asc,0.0,1.0,0.0,0.1819831599506312
0,Residual,asc,0.05,1.0,0.0,0.1819831599506312
0,Residual,asc,0.1,1.0,0.0,0.1819831599506312
0,Residual,asc,0.15000000000000002,1.0,0.0,0.1819831599506312
0,Residual,asc,0.2,1.0,0.0,0.1819831599506312
0,Residual,asc,0.25,1.0,0.0,0.1819831599506312
0,Residual,asc,0.30000000000000004,1.0,0.0,0.1819831599506312
0,Residual,asc,0.35000000000000003,1.0,0.0,0.1819831599506312
0,Residual,asc,0.4,1.0,0.0,0.1819831599506312
0,Residual,asc,0.45,1.0,0.0,0.1819831599506312
0,Residual,asc,0.5,1.0,0.0,0.1819831599506312
0,Residual,asc,0.55,1.0,0.0,0.1819831599506312
0,Residual,asc,0.6000000000000001,1.0,0.0,0.1819831599506312
0,Residual,asc,0.65,1.0,0.0,0.1819831599506312
0,Residual,asc,0.7000000000000001,1.0,0.0,0.1819831599506312
0,Residual,asc,0.75,1.0,0.0,0.1819831599506312
0,Residual,asc,0.8,1.0,0.0,0.1819831599506312
0,Residual,asc,0.8500000000000001,1.0,0.0,0.1819831599506312
0,Residual,asc,0.9,1.0,0.0,0.1819831599506312
0,Residual,asc,0.9500000000000001,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.0,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.05,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.1,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.15000000000000002,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.2,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.25,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.30000000000000004,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.35000000000000003,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.4,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.45,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.5,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.55,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.6000000000000001,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.65,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.7000000000000001,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.75,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.8,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.8500000000000001,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.9,1.0,0.0,0.1819831599506312
0,Chaos,asc,0.9500000000000001,1.0,0.0,0.1819831599506312
0,Failure,asc,0.0,1.0,0.0,0.1819831599506312
0,Failure,asc,0.05,1.0,0.0,0.1819831599506312
0,Failure,asc,0.1,1.0,0.0,0.1819831599506312
0,Failure,asc,0.15000000000000002,1.0,0.0,0.1819831599506312
0,Failure,asc,0.2,1.0,0.0,0.1819831599506312
0,Failure,asc,0.25,1.0,0.0,0.1819831599506312
0,Failure,asc,0.30000000000000004,1.0,0.0,0.1819831599506312
0,Failure,asc,0.35000000000000003,1.0,0.0,0.1819831599506312
0,Failure,asc,0.4,1.0,0.0,0.1819831599506312
0,Failure,asc,0.45,1.0,0.0,0.1819831599506312
0,Failure,asc,0.5,1.0,0.0,0.1819831599506312
0,Failure,asc,0.55,1.0,0.0,0.1819831599506312
0,Failure,asc,0.6000000000000001,1.0,0.0,0.1819831599506312
0,Failure,asc,0.65,1.0,0.0,0.1819831599506312
0,Failure,asc,0.7000000000000001,1.0,0.0,0.1819831599506312
0,Failure,asc,0.75,1.0,0.0,0.1819831599506312
0,Failure,asc,0.8,1.0,0.0,0.1819831599506312
0,Failure,asc,0.8500000000000001,1.0,0.0,0.1819831599506312
0,Failure,asc,0.9,1.0,0.0,0.1819831599506312
0,Failure,asc,0.9500000000000001,1.0,0.0,0.1819831599506312
0,Residual,desc,0.0,1.0,0.0,0.1819831599506312
0,Residual,desc,0.05,1.0,0.0,0.1819831599506312
0,Residual,desc,0.1,1.0,0.0,0.1819831599506312
0,Residual,desc,0.15000000000000002,1.0,0.0,0.1819831599506312
0,Residual,desc,0.2,1.0,0.0,0.1819831599506312
0,Residual,desc,0.25,1.0,0.0,0.1819831599506312
0,Residual,desc,0.30000000000000004,1.0,0.0,0.1819831599506312
0,Residual,desc,0.35000000000000003,1.0,0.0,0.1819831599506312
0,Residual,desc,0.4,1.0,0.0,0.1819831599506312
0,Residual,desc,0.45,1.0,0.0,0.1819831599506312
0,Residual,desc,0.5,1.0,0.0,0.1819831599506312
0,Residual,desc,0.55,1.0,0.0,0.1819831599506312
0,Residual,desc,0.6000000000000001,1.0,0.0,0.1819831599506312
0,Residual,desc,0.65,1.0,0.0,0.1819831599506312
0,Residual,desc,0.7000000000000001,1.0,0.0,0.1819831599506312
0,Residual,desc,0.75,1.0,0.0,0.1819831599506312
0,Residual,desc,0.8,1.0,0.0,0.1819831599506312
0,Residual,desc,0.8500000000000001,1.0,0.0,0.1819831599506312
0,Residual,desc,0.9,1.0,0.0,0.1819831599506312
0,Residual,desc,0.9500000000000001,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.0,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.05,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.1,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.15000000000000002,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.2,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.25,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.30000000000000004,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.35000000000000003,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.4,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.45,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.5,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.55,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.6000000000000001,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.65,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.7000000000000001,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.75,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.8,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.8500000000000001,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.9,1.0,0.0,0.1819831599506312
0,Chaos,desc,0.9500000000000001,1.0,0.0,0.1819831599506312
0,Failure,desc,0.0,1.0,0.0,0.1819831599506312
0,Failure,desc,0.05,1.0,0.0,0.1819831599506312
0,Failure,desc,0.1,1.0,0.0,0.1819831599506312
0,Failure,desc,0.15000000000000002,1.0,0.0,0.1819831599506312
0,Failure,desc,0.2,1.0,0.0,0.1819831599506312
0,Failure,desc,0.25,1.0,0.0,0.1819831599506312
0,Failure,desc,0.30000000000000004,1.0,0.0,0.1819831599506312
0,Failure,desc,0.35000000000000003,1.0,0.0,0.1819831599506312
0,Failure,desc,0.4,1.0,0.0,0.1819831599506312
0,Failure,desc,0.45,1.0,0.0,0.1819831599506312
0,Failure,desc,0.5,1.0,0.0,0.1819831599506312
0,Failure,desc,0.55,1.0,0.0,0.1819831599506312
