seed,metric,order,remove_ratio,L2,improvement_pct,mean_failure
1,Residual,asc,0.0,0.00845300111265105,0.0,0.0014536641724698712
1,Residual,asc,0.05,0.00865263486650882,-2.3616908503536345,0.0014536641724698712
1,Residual,asc,0.1,0.008877570918974688,-5.02271087706604,0.0014536641724698712
1,Residual,asc,0.15000000000000002,0.009108604526157424,-7.755865695145549,0.0014536641724698712
1,Residual,asc,0.2,0.009357376581449774,-10.698868446204335,0.0014536641724698712
1,Residual,asc,0.25,0.009615913476589029,-13.757390404190586,0.0014536641724698712
1,Residual,asc,0.30000000000000004,0.009891791386600927,-17.021058613094638,0.0014536641724698712
1,Residual,asc,0.35000000000000003,0.010204039648546555,-20.71499237442239,0.0014536641724698712
1,Residual,asc,0.4,0.010539588656965132,-24.68457671431303,0.0014536641724698712
1,Residual,asc,0.45,0.010911661718511266,-29.08624490987586,0.0014536641724698712
1,Residual,asc,0.5,0.01132332715016144,-33.956295512780216,0.0014536641724698712
1,Residual,asc,0.55,0.011788345761430268,-39.4575205223554,0.0014536641724698712
1,Residual,asc,0.6000000000000001,0.012343453873117504,-46.02451494586781,0.0014536641724698712
1,Residual,asc,0.65,0.012997173619022825,-53.75809663115756,0.0014536641724698712
1,Residual,asc,0.7000000000000001,0.013823799281085007,-63.5371756948646,0.0014536641724698712
1,Residual,asc,0.75,0.014992261681829877,-77.36022368898008,0.0014536641724698712
1,Residual,asc,0.8,0.01657980147628696,-96.14100667126452,0.0014536641724698712
1,Residual,asc,0.8500000000000001,0.019128513559841704,-126.2925711817702,0.0014536641724698712
1,Residual,asc,0.9,0.023462323477196376,-177.56205357741953,0.0014536641724698712
1,Residual,asc,0.9500000000000001,0.03244722731734048,-283.8545255693727,0.0014536641724698712
1,Chaos,asc,0.0,0.008453001112651052,0.0,0.0014536641724698712
1,Chaos,asc,0.05,0.008603613609864124,-1.7817636033155206,0.0014536641724698712
1,Chaos,asc,0.1,0.008340187073576205,1.334603386080305,0.0014536641724698712
1,Chaos,asc,0.15000000000000002,0.008511616048580825,-0.6934216043346786,0.0014536641724698712
1,Chaos,asc,0.2,0.008630179301400562,-2.09603886700476,0.0014536641724698712
1,Chaos,asc,0.25,0.008766442501292746,-3.708048590844114,0.0014536641724698712
1,Chaos,asc,0.30000000000000004,0.008800179660448998,-4.107163162185636,0.0014536641724698712
1,Chaos,asc,0.35000000000000003,0.008798534352100441,-4.0876989703958815,0.0014536641724698712
1,Chaos,asc,0.4,0.008637975377106413,-2.188267361973045,0.0014536641724698712
1,Chaos,asc,0.45,0.008703748718034606,-2.9663737416084968,0.0014536641724698712
1,Chaos,asc,0.5,0.008696758167107728,-2.8836746997685925,0.0014536641724698712
1,Chaos,asc,0.55,0.009043541012602435,-6.986156657042921,0.0014536641724698712
1,Chaos,asc,0.6000000000000001,0.008505527401539375,-0.6213921918182524,0.0014536641724698712
1,Chaos,asc,0.65,0.008150160319463407,3.582642296525935,0.0014536641724698712
1,Chaos,asc,0.7000000000000001,0.008051796338004699,4.746299796954905,0.0014536641724698712
1,Chaos,asc,0.75,0.008147238964966419,3.6172022647319757,0.0014536641724698712
1,Chaos,asc,0.8,0.007261131336492521,14.099960005621403,0.0014536641724698712
1,Chaos,asc,0.8500000000000001,0.007319327149990945,13.411496669075456,0.0014536641724698712
1,Chaos,asc,0.9,0.007237993567381307,14.373682542775523,0.0014536641724698712
1,Chaos,asc,0.9500000000000001,0.006468577449238268,23.475965955367347,0.0014536641724698712
1,Failure,asc,0.0,0.008453001112651048,0.0,0.0014536641724698712
1,Failure,asc,0.05,0.00856898110516295,-1.3720569885921539,0.0014536641724698712
1,Failure,asc,0.1,0.008691831581302448,-2.8253926087145285,0.0014536641724698712
1,Failure,asc,0.15000000000000002,0.008798809474717503,-4.090953703400156,0.0014536641724698712
1,Failure,asc,0.2,0.008911987170142698,-5.429859186990003,0.0014536641724698712
1,Failure,asc,0.25,0.009062635810447969,-7.212050367348473,0.0014536641724698712
1,Failure,asc,0.30000000000000004,0.009223781803310117,-9.118426466376444,0.0014536641724698712
1,Failure,asc,0.35000000000000003,0.009400576925828187,-11.209933614689406,0.0014536641724698712
1,Failure,asc,0.4,0.009597321121951724,-13.537440656290078,0.0014536641724698712
1,Failure,asc,0.45,0.009824535126465628,-16.225409124362898,0.0014536641724698712
1,Failure,asc,0.5,0.010064985662965435,-19.069967326773867,0.0014536641724698712
1,Failure,asc,0.55,0.010322288242763643,-22.1138871887164,0.0014536641724698712
1,Failure,asc,0.6000000000000001,0.010684825487871146,-26.402745551279704,0.0014536641724698712
1,Failure,asc,0.65,0.011123671127840755,-31.594341223884282,0.0014536641724698712
1,Failure,asc,0.7000000000000001,0.011715783372219353,-38.59909890092306,0.0014536641724698712
1,Failure,asc,0.75,0.012655035171078284,-49.71055844460175,0.0014536641724698712
1,Failure,asc,0.8,0.013992880116222224,-65.53742191373907,0.0014536641724698712
1,Failure,asc,0.8500000000000001,0.016680391667188033,-97.33100049192699,0.0014536641724698712
1,Failure,asc,0.9,0.021283071797126196,-151.78124920950535,0.0014536641724698712
1,Failure,asc,0.9500000000000001,0.03376994056713523,-299.5023792980932,0.0014536641724698712
1,Residual,desc,0.0,0.008453001112651053,0.0,0.0014536641724698712
1,Residual,desc,0.05,0.002317416369394983,72.58469106402154,0.0014536641724698712
1,Residual,desc,0.1,0.0014855226197730276,82.42609222481063,0.0014536641724698712
1,Residual,desc,0.15000000000000002,0.0015223917129380156,81.98992650480606,0.0014536641724698712
1,Residual,desc,0.2,0.001244421910518675,85.27834204758082,0.0014536641724698712
1,Residual,desc,0.25,0.0007867180321426435,90.69303290442949,0.0014536641724698712
1,Residual,desc,0.30000000000000004,0.0006909588394399715,91.82587544669954,0.0014536641724698712
1,Residual,desc,0.35000000000000003,0.0006336932763471018,92.50333381124611,0.0014536641724698712
1,Residual,desc,0.4,0.0006107150948341182,92.77516840829347,0.0014536641724698712
1,Residual,desc,0.45,0.0006239892517438361,92.61813356666957,0.0014536641724698712
1,Residual,desc,0.5,0.0005773706982612133,93.16963655195667,0.0014536641724698712
1,Residual,desc,0.55,0.0004494513445100298,94.68293759198298,0.0014536641724698712
1,Residual,desc,0.6000000000000001,0.00044571080697835647,94.72718859209317,0.0014536641724698712
1,Residual,desc,0.65,0.0004436364138524292,94.75172890739991,0.0014536641724698712
1,Residual,desc,0.7000000000000001,0.0004454357671261448,94.73044234597945,0.0014536641724698712
1,Residual,desc,0.75,0.0004438817147613869,94.74882696871933,0.0014536641724698712
1,Residual,desc,0.8,0.0004459718089087517,94.7241009084774,0.0014536641724698712
1,Residual,desc,0.8500000000000001,0.00044325529420421853,94.75623759778256,0.0014536641724698712
1,Residual,desc,0.9,0.00043824104848250807,94.8155567159855,0.0014536641724698712
1,Residual,desc,0.9500000000000001,0.00044822428723027553,94.6974538243057,0.0014536641724698712
1,Chaos,desc,0.0,0.008453001112651052,0.0,0.0014536641724698712
1,Chaos,desc,0.05,0.008540390450500727,-1.033826172326958,0.0014536641724698712
1,Chaos,desc,0.1,0.008571523910641426,-1.4021386772679971,0.0014536641724698712
1,Chaos,desc,0.15000000000000002,0.008624023939129729,-2.023220205457188,0.0014536641724698712
1,Chaos,desc,0.2,0.008701810011534888,-2.943438615090928,0.0014536641724698712
1,Chaos,desc,0.25,0.008544651669146001,-1.0842368914134193,0.0014536641724698712
1,Chaos,desc,0.30000000000000004,0.00860828354586278,-1.8370094968913144,0.0014536641724698712
1,Chaos,desc,0.35000000000000003,0.008601807672532382,-1.7603991517121786,0.0014536641724698712
1,Chaos,desc,0.4,0.008419877510895221,0.39185611493953904,0.0014536641724698712
1,Chaos,desc,0.45,0.007965744558666141,5.76430249436103,0.0014536641724698712
1,Chaos,desc,0.5,0.008215852129310667,2.805500439192644,0.0014536641724698712
1,Chaos,desc,0.55,0.008156733269176479,3.504883526291839,0.0014536641724698712
1,Chaos,desc,0.6000000000000001,0.00818803015813091,3.1346376392116753,0.0014536641724698712
1,Chaos,desc,0.65,0.007816244968643192,7.532900274375557,0.0014536641724698712
1,Chaos,desc,0.7000000000000001,0.007647112805141901,9.533753713849986,0.0014536641724698712
1,Chaos,desc,0.75,0.00751295108530056,11.120902680866564,0.0014536641724698712
1,Chaos,desc,0.8,0.0077520332273705505,8.292532745931009,0.0014536641724698712
1,Chaos,desc,0.8500000000000001,0.008134794305314707,3.764424055973515,0.0014536641724698712
1,Chaos,desc,0.9,0.009366998572601572,-10.812697736222939,0.0014536641724698712
1,Chaos,desc,0.9500000000000001,0.005528581404631772,34.596230014006416,0.0014536641724698712
1,Failure,desc,0.0,0.008453001112651052,0.0,0.0014536641724698712
1,Failure,desc,0.05,0.0006145701410018507,92.72956275751503,0.0014536641724698712
1,Failure,desc,0.1,0.0005245134459053833,93.79494408062506,0.0014536641724698712
1,Failure,desc,0.15000000000000002,0.0004998657752542507,94.08652893105463,0.0014536641724698712
1,Failure,desc,0.2,0.00047745775656112655,94.35161843470543,0.0014536641724698712
1,Failure,desc,0.25,0.00048071886465230856,94.31303914141395,0.0014536641724698712
1,Failure,desc,0.30000000000000004,0.0004940795811450268,94.15498028971543,0.0014536641724698712
1,Failure,desc,0.35000000000000003,0.0004977554625594309,94.11149417909725,0.0014536641724698712
1,Failure,desc,0.4,0.0004974745978952022,94.11481684119663,0.0014536641724698712
1,Failure,desc,0.45,0.000499412368718968,94.0918927838359,0.0014536641724698712
1,Failure,desc,0.5,0.0004970487205849792,94.11985501999901,0.0014536641724698712
1,Failure,desc,0.55,0.0004872133310804762,94.23620883769559,0.0014536641724698712
1,Failure,desc,0.6000000000000001,0.0004751103610031563,94.3793884009776,0.0014536641724698712
1,Failure,desc,0.65,0.0004685477741148609,94.45702457777256,0.0014536641724698712
1,Failure,desc,0.7000000000000001,0.0004663628010584813,94.48287306669691,0.0014536641724698712
1,Failure,desc,0.75,0.00047232517806106237,94.41233744363096,0.0014536641724698712
1,Failure,desc,0.8,0.0004763274211144915,94.36499043633624,0.0014536641724698712
1,Failure,desc,0.8500000000000001,0.00048156452184174785,94.30303491713705,0.0014536641724698712
1,Failure,desc,0.9,0.0004938882781003381,94.15724342729392,0.0014536641724698712
1,Failure,desc,0.9500000000000001,0.0005140511627185004,93.91871412451191,0.0014536641724698712
12,Residual,asc,0.0,0.03263203026100621,0.0,0.0024096006793552075
12,Residual,asc,0.05,0.033213882335722644,-1.7830704067828778,0.0024096006793552075
12,Residual,asc,0.1,0.03384329800154621,-3.7118981897593093,0.0024096006793552075
12,Residual,asc,0.15000000000000002,0.03461951094777487,-6.090582384460496,0.0024096006793552075
12,Residual,asc,0.2,0.03545242304561629,-8.64301964067594,0.0024096006793552075
12,Residual,asc,0.25,0.03639318534848377,-11.525961018649738,0.0024096006793552075
12,Residual,asc,0.30000000000000004,0.03749457281821357,-14.90113400335338,0.0024096006793552075
12,Residual,asc,0.35000000000000003,0.03869535998617841,-18.580914753617407,0.0024096006793552075
12,Residual,asc,0.4,0.039937041815613646,-22.38601612029207,0.0024096006793552075
12,Residual,asc,0.45,0.041345794598226605,-26.703102036629783,0.0024096006793552075
12,Residual,asc,0.5,0.042921849963856375,-31.53288232619112,0.0024096006793552075
12,Residual,asc,0.55,0.044793675413953404,-37.26904227433194,0.0024096006793552075
12,Residual,asc,0.6000000000000001,0.04680843250719592,-43.44321249030548,0.0024096006793552075
12,Residual,asc,0.65,0.04921679253981445,-50.823568580182034,0.0024096006793552075
12,Residual,asc,0.7000000000000001,0.052369008858028816,-60.48345272775565,0.0024096006793552075
12,Residual,asc,0.75,0.056034604079974674,-71.7165730473518,0.0024096006793552075
12,Residual,asc,0.8,0.06134425509616305,-87.98785918468162,0.0024096006793552075
12,Residual,asc,0.8500000000000001,0.0689997886028715,-111.44804062443856,0.0024096006793552075
12,Residual,asc,0.9,0.0858857599984563,-163.19465663491331,0.0024096006793552075
12,Residual,asc,0.9500000000000001,0.12992637825272335,-298.1559750144613,0.0024096006793552075
12,Chaos,asc,0.0,0.03263203026100622,0.0,0.0024096006793552075
12,Chaos,asc,0.05,0.031961112944828354,2.056008500885659,0.0024096006793552075
12,Chaos,asc,0.1,0.03237384138373328,0.7912130358050847,0.0024096006793552075
12,Chaos,asc,0.15000000000000002,0.032479688537685014,0.46684721147507063,0.0024096006793552075
12,Chaos,asc,0.2,0.032369970394990184,0.8030755791777632,0.0024096006793552075
12,Chaos,asc,0.25,0.030832670567389985,5.5140905399514475,0.0024096006793552075
12,Chaos,asc,0.30000000000000004,0.031379622607415884,3.8379703731977353,0.0024096006793552075
12,Chaos,asc,0.35000000000000003,0.03141172147292593,3.7396042425791225,0.0024096006793552075
12,Chaos,asc,0.4,0.03155904138606253,3.2881462365700957,0.0024096006793552075
12,Chaos,asc,0.45,0.03166464980374907,2.9645120132568885,0.0024096006793552075
12,Chaos,asc,0.5,0.032558981068358084,0.22385733300642827,0.0024096006793552075
12,Chaos,asc,0.55,0.03197798771019525,2.0042962254558967,0.0024096006793552075
12,Chaos,asc,0.6000000000000001,0.033288119624710066,-2.0105686298282217,0.0024096006793552075
12,Chaos,asc,0.65,0.03577297340999982,-9.625337816467026,0.0024096006793552075
12,Chaos,asc,0.7000000000000001,0.037375924551321174,-14.53753950450238,0.0024096006793552075
12,Chaos,asc,0.75,0.039606213313524846,-21.372200861349565,0.0024096006793552075
12,Chaos,asc,0.8,0.04457010330730147,-36.58391142325182,0.0024096006793552075
12,Chaos,asc,0.8500000000000001,0.04607323755564194,-41.19022686338135,0.0024096006793552075
12,Chaos,asc,0.9,0.049706315498896196,-52.32369883614921,0.0024096006793552075
12,Chaos,asc,0.9500000000000001,0.06545985528230812,-100.60000790244928,0.0024096006793552075
12,Failure,asc,0.0,0.03263203026100621,0.0,0.0024096006793552075
12,Failure,asc,0.05,0.03279192687477902,-0.48999897491477623,0.0024096006793552075
12,Failure,asc,0.1,0.033019410290802506,-1.1871159308748207,0.0024096006793552075
12,Failure,asc,0.15000000000000002,0.03329721708371389,-2.0384475540970124,0.0024096006793552075
12,Failure,asc,0.2,0.03362657745887403,-3.0477637766114,0.0024096006793552075
12,Failure,asc,0.25,0.03400226086425833,-4.199035709063696,0.0024096006793552075
12,Failure,asc,0.30000000000000004,0.03443315208624745,-5.519490546052532,0.0024096006793552075
12,Failure,asc,0.35000000000000003,0.03491688132657266,-7.001866103001092,0.0024096006793552075
12,Failure,asc,0.4,0.03549073111520679,-8.760413714180087,0.0024096006793552075
12,Failure,asc,0.45,0.03616248492227793,-10.818985619446586,0.0024096006793552075
12,Failure,asc,0.5,0.036852632317967926,-12.933924194122682,0.0024096006793552075
