Iteration,Valerror
0,1.0231078
1,1.0197555
2,1.01665
3,1.0137873
4,1.0111645
5,1.0087775
6,1.0066189
7,1.0046791
8,1.0029459
9,1.0014036
10,1.0000329
11,0.9988109
12,0.9977106
13,0.9966998
14,0.99574107
15,0.9947905
16,0.9937978
17,0.9927066
18,0.9914558
19,0.98997986
20,0.98821014
21,0.98607546
22,0.9835025
23,0.98041576
24,0.9767387
25,0.9723938
26,0.9673052
27,0.9614017
28,0.95462495
29,0.9469388
30,0.9383387
31,0.9288531
32,0.91853786
33,0.9074608
34,0.8956651
35,0.88311934
36,0.869691
37,0.8551834
38,0.83943605
39,0.8224529
40,0.80450183
41,0.78615326
42,0.7682272
43,0.7515892
44,0.73679376
45,0.7238257
46,0.71227825
47,0.7018123
48,0.6924202
49,0.68437904
50,0.678067
51,0.6737871
52,0.67162555
53,0.67132264
54,0.67222625
55,0.6734802
56,0.67442137
57,0.67485636
58,0.6749833
59,0.6750886
60,0.67527556
61,0.6753948
62,0.6751902
63,0.6745086
64,0.6733976
65,0.67204326
66,0.6706069
67,0.6690469
68,0.66702616
69,0.66402376
70,0.65966415
71,0.6540184
72,0.64761
73,0.6411881
74,0.6354745
75,0.6310069
76,0.6280897
77,0.6267964
78,0.62696904
79,0.62821925
80,0.6299822
81,0.6316588
82,0.63281053
83,0.63330007
84,0.6332865
85,0.6330975
86,0.6330759
87,0.63347185
88,0.63440174
89,0.6358527
90,0.6377097
91,0.63978684
92,0.6418583
93,0.6436879
94,0.64506066
95,0.6458129
96,0.64585733
97,0.6451961
98,0.643918
99,0.64218
100,0.6401791
101,0.6381213
102,0.63619506
103,0.6345497
104,0.6332825
105,0.6324331
106,0.6319853
107,0.63187563
108,0.63200736
109,0.63226914
110,0.6325547
111,0.63278
112,0.6328948
113,0.6328846
114,0.6327652
115,0.63256973
116,0.6323358
117,0.6320927
118,0.6318538
119,0.63161296
120,0.6313455
121,0.6310133
122,0.6305721
123,0.6299818
124,0.6292167
125,0.6282744
126,0.62718064
127,0.6259872
128,0.6247634
129,0.6235831
130,0.62250996
131,0.62158525
132,0.6208205
133,0.6201959
134,0.6196655
135,0.6191665
136,0.6186326
137,0.61800736
138,0.6172539
139,0.6163602
140,0.6153367
141,0.6142094
142,0.6130096
143,0.61176485
144,0.6104921
145,0.6091964
146,0.6078727
147,0.60651225
148,0.60510975
149,0.60366863
150,0.6022031
151,0.60073423
152,0.5992821
153,0.5978574
154,0.59645444
155,0.59505033
156,0.59360963
157,0.59209484
158,0.59047806
159,0.58875155
160,0.5869317
161,0.5850546
162,0.5831649
163,0.5813011
164,0.5794832
165,0.5777076
166,0.5759511
167,0.5741835
168,0.5723812
169,0.57053536
170,0.5686503
171,0.5667336
172,0.56478596
173,0.56279933
174,0.5607663
175,0.55869347
176,0.556604
177,0.55452037
178,0.5524384
