Iteration,Valerror
295,0.95444
296,0.95444244
297,0.95444477
298,0.954447
299,0.95444906
300,0.95445114
301,0.9544532
302,0.954455
303,0.9544569
304,0.95445865
305,0.9544604
306,0.954462
307,0.9544636
308,0.95446515
309,0.9544666
310,0.95446795
311,0.9544694
312,0.95447063
313,0.9544719
314,0.9544731
315,0.9544742
316,0.95447534
317,0.95447636
318,0.95447737
319,0.9544784
320,0.95447934
321,0.9544802
322,0.95448107
323,0.95448184
324,0.9544827
325,0.9544834
326,0.95448416
327,0.9544849
328,0.9544855
329,0.95448613
330,0.9544867
331,0.95448726
332,0.9544879
333,0.95448846
334,0.954489
335,0.9544894
336,0.9544899
337,0.9544903
338,0.9544908
339,0.9544912
340,0.9544915
341,0.9544919
342,0.9544923
343,0.95449257
344,0.954493
345,0.9544933
346,0.9544935
347,0.9544939
348,0.95449406
349,0.95449436
350,0.9544946
351,0.9544948
352,0.954495
353,0.95449525
354,0.95449543
355,0.9544956
356,0.9544958
357,0.954496
358,0.95449615
359,0.95449626
360,0.9544965
361,0.95449656
362,0.95449674
363,0.9544968
364,0.9544969
365,0.9544971
366,0.9544972
367,0.9544973
368,0.9544974
369,0.95449746
370,0.9544976
371,0.95449764
372,0.9544977
373,0.9544978
374,0.9544979
375,0.95449793
376,0.95449793
377,0.954498
378,0.9544981
379,0.9544981
380,0.95449823
381,0.95449823
382,0.9544983
383,0.9544983
384,0.95449835
385,0.9544984
386,0.9544984
387,0.9544984
388,0.95449847
389,0.95449847
390,0.9544985
391,0.9544985
392,0.9544985
393,0.9544985
394,0.9544987
395,0.9544987
396,0.9544987
397,0.9544987
398,0.9544987
399,0.95449877
400,0.95449877
401,0.95449877
402,0.95449877
403,0.95449877
404,0.95449877
405,0.95449877
406,0.95449877
407,0.95449877
408,0.95449877
409,0.9544988
410,0.9544988
411,0.9544988
412,0.9544988
413,0.9544988
414,0.9544988
415,0.9544988
416,0.9544988
417,0.9544988
418,0.9544988
419,0.9544988
420,0.9544988
421,0.9544988
422,0.9544988
423,0.9544988
424,0.9544988
425,0.9544988
426,0.9544988
427,0.9544988
428,0.9544988
429,0.9544988
430,0.9544988
431,0.9544988
432,0.9544988
433,0.9544989
434,0.9544989
435,0.9544989
436,0.9544989
437,0.9544989
438,0.9544989
439,0.9544989
440,0.9544989
441,0.9544989
442,0.9544989
443,0.9544989
444,0.9544989
445,0.9544989
446,0.9544989
447,0.9544989
448,0.9544989
449,0.9544989
450,0.9544989
451,0.9544989
452,0.9544989
453,0.9544989
454,0.9544989
455,0.9544989
456,0.9544989
457,0.9544989
458,0.9544989
459,0.9544989
460,0.9544989
461,0.9544989
462,0.9544989
463,0.9544989
464,0.9544989
465,0.9544989
466,0.9544989
467,0.9544989
468,0.9544989
469,0.9544989
470,0.9544989
471,0.9544989
472,0.9544989
473,0.9544989
474,0.9544989
475,0.9544989
476,0.9544989
477,0.9544989
478,0.9544989
479,0.9544989
480,0.9544989
481,0.9544989
482,0.9544989
483,0.9544989
484,0.9544989
485,0.9544989
486,0.9544989
487,0.9544989
488,0.9544989
489,0.9544989
490,0.9544989
491,0.9544989
492,0.9544989
493,0.9544989
494,0.9544989
495,0.9544989
496,0.9544989
497,0.9544989
498,0.9544989
499,0.9544989
